"city_state","years","_2000_population","_2020_population","_2000_price","_2020_price","pop_increase","price_increase"
"Anchorage AK",2000,260283,551539.677,"$171,996.00","$368,750.07",1.119,1.143945623
"Ontario CA",2000,158007,333236.763,"$159,628.00","$472,800.43",1.109,1.961889056
"Tallahassee FL",2000,177442,373692.852,"$119,367.00","$205,623.68",1.106,0.722617479
"Fresno CA",2000,491288,1033178.664,"$113,772.00","$276,601.43",1.103,1.431190712
"Oakland CA",2000,399484,840114.852,"$271,595.00","$857,832.96",1.103,2.158500563
"Lowell MA",2000,105167,220745.533,"$116,668.00","$354,032.01",1.099,2.034525418
"Hollywood FL",2000,139357,292370.986,"$123,700.00","$330,922.19",1.098,1.675199626
"El Paso TX",2000,619232,1297910.272,"$94,627.00","$145,024.52",1.096,0.532591293
"Reno NV",2000,242085,506199.735,"$187,317.00","$413,094.12",1.091,1.20532102
"Oklahoma City OK",2000,626568,1307647.416,"$83,771.00","$150,523.38",1.087,0.796843587
"Independence MO",2000,113288,236318.768,"$83,746.00","$138,340.36",1.086,0.651904119
"Orange CA",2000,128821,268720.606,"$300,987.00","$762,164.67",1.086,1.532217892
"Lakewood CO",2000,144126,300070.332,"$200,004.00","$479,241.53",1.082,1.396159742
"Oceanside CA",2000,161029,335101.349,"$223,556.00","$590,776.32",1.081,1.642632366
"Sterling Heights MI",2000,124471,258775.209,"$162,159.00","$226,932.32",1.079,0.399443241
"Yonkers NY",2000,196086,407662.794,"$282,080.00","$562,609.58",1.079,0.99450362
"Clearwater FL",2000,108787,226059.386,"$109,219.00","$240,758.63",1.078,1.204365822
"Pasadena TX",2000,141674,293690.202,"$83,976.00","$168,763.67",1.073,1.009665441
"Burbank CA",2000,100316,207654.120,"$295,120.00","$934,964.28",1.070,2.16808172
"Paterson NJ",2000,149222,308889.540,"$154,377.00","$323,790.11",1.070,1.097398626
"Downey CA",2000,107323,221729.318,"$221,230.00","$619,531.48",1.066,1.800395442
"Torrance CA",2000,137946,284996.436,"$338,846.00","$925,255.36",1.066,1.730607303
"Anaheim CA",2000,328014,674724.798,"$250,519.00","$670,086.14",1.057,1.674791674
"Huntington Beach CA",2000,189594,388288.512,"$365,884.00","$963,995.94",1.048,1.634703729
"Fort Collins CO",2000,162643,332442.292,"$205,667.00","$449,422.96",1.044,1.185197251
"West Covina CA",2000,105080,214573.360,"$213,924.00","$605,556.40",1.042,1.830708114
"Garden Grove CA",2000,165196,337165.036,"$238,187.00","$686,083.59",1.041,1.88044097
"Pasadena CA",2000,133936,272693.696,"$315,242.00","$1,004,621.16",1.036,2.186825236
"Newport News VA",2000,180150,366425.100,"$109,450.00","$199,777.09",1.034,0.825281808
"Costa Mesa CA",2000,108724,220600.996,"$338,637.00","$924,844.18",1.029,1.731078361
"Winston-Salem NC",2000,242533,492099.457,"$112,924.00","$162,840.56",1.029,0.442036734
