"city_state","years","_2000_population","_2020_population","_2000_price","_2020_price","price_increase","pop_increase"
"Tampa FL",2000,1182893,1567333.225,"$116,806.00","$270,550.55",1.31623845,0.325
"Coral Springs FL",2000,117549,251907.507,"$181,753.00","$419,181.01",1.306322354,1.143
"Tempe AZ",2000,158625,339140.250,"$146,024.00","$331,424.34",1.269656631,1.138
"Arvada CO",2000,102153,226575.354,"$213,592.00","$484,698.63",1.269273326,1.218
"Vancouver WA",2000,143560,334494.800,"$167,314.00","$379,508.40",1.268240556,1.330
"Minneapolis MN",2000,1385606,1815143.860,"$135,879.00","$306,822.98",1.258060302,0.310
"Pittsburgh PA",2000,1043850,1346566.500,"$82,236.00","$184,916.33",1.248605645,0.290
"Salem OR",2000,172077,347595.540,"$144,451.00","$322,807.82",1.234721939,1.020
"Bakersfield CA",2000,321591,725187.705,"$123,179.00","$274,504.73",1.228502675,1.255
"Modesto CA",2000,249901,468314.474,"$148,684.00","$331,183.84",1.227434322,0.874
"Simi Valley CA",2000,111848,238236.240,"$284,147.00","$630,731.50",1.219736615,1.130
"Richmond VA",2000,508313,735020.598,"$114,440.00","$252,415.88",1.205661349,0.446
"Reno NV",2000,242085,506199.735,"$187,317.00","$413,094.12",1.20532102,1.091
"Thousand Oaks CA",2000,163998,290932.452,"$357,284.00","$787,865.03",1.20515062,0.774
"Clearwater FL",2000,108787,226059.386,"$109,219.00","$240,758.63",1.204365822,1.078
"Westminster CO",2000,100940,217222.880,"$194,867.00","$429,062.43",1.201821927,1.152
"Providence RI",2000,674083,864848.489,"$117,671.00","$257,850.42",1.191282647,0.283
"Vallejo CA",2000,137864,264009.560,"$204,619.00","$447,991.38",1.189392875,0.915
"Santa Rosa CA",2000,216502,394683.146,"$284,130.00","$621,829.92",1.188540164,0.823
"Fort Collins CO",2000,162643,332442.292,"$205,667.00","$449,422.96",1.185197251,1.044
"Salinas CA",2000,165117,328582.830,"$252,156.00","$549,838.51",1.180548978,0.990
"Phoenix AZ",2000,2114047,3722836.767,"$130,596.00","$282,525.15",1.16335227,0.761
"Virginia Beach VA",2000,909848,1369321.240,"$140,847.00","$304,344.14",1.16081379,0.505
"Anchorage AK",2000,260283,551539.677,"$171,996.00","$368,750.07",1.143945623,1.119
"Eugene OR",2000,180971,357598.696,"$167,121.00","$357,300.74",1.137976308,0.976
"Scottsdale AZ",2000,202705,444126.655,"$287,241.00","$613,732.20",1.13664555,1.191
"Gilbert AZ",2000,109697,377577.074,"$179,136.00","$381,036.59",1.12707995,2.442
"Orlando FL",2000,671691,979325.478,"$131,186.00","$276,739.01",1.109516329,0.458
"Chandler AZ",2000,176581,452577.103,"$170,069.00","$358,574.98",1.108408834,1.563
"Mesa AZ",2000,396375,900564.000,"$139,064.00","$291,846.38",1.098647929,1.272
"Paterson NJ",2000,149222,308889.540,"$154,377.00","$323,790.11",1.097398626,1.070
