years,sex,city_state,population,female_comparison,male_comparison,male_pop_2000,female_pop_2000,total_pop_2000,total_pop_2020,city_state_year,pop_increase,price_increase
2000,Female,Erie PA,77930,0.522,0.478,71331,77930,149261,,Erie PA 2000,,0.379966679
2000,Both,Escondido CA,133559,0.504,0.496,66233,67326,133559,151038,Escondido CA 2000,1.131,1.430681018
2000,Male,Escondido CA,66233,0.504,0.496,66233,67326,133559,151038,Escondido CA 2000,1.131,1.430681018
2000,Female,Escondido CA,67326,0.504,0.496,66233,67326,133559,151038,Escondido CA 2000,1.131,1.430681018
2020,Both,Escondido CA,151038,0.504,0.496,,,133559,151038,Escondido CA 2020,1.131,1.430681018
2000,Both,Eugene OR,180971,0.510,0.490,88643,92329,180972,176654,Eugene OR 2000,0.976,1.137976308
2000,Male,Eugene OR,88643,0.510,0.490,88643,92329,180972,176654,Eugene OR 2000,0.976,1.137976308
2000,Female,Eugene OR,92329,0.510,0.490,88643,92329,180972,176654,Eugene OR 2000,0.976,1.137976308
2020,Both,Eugene OR,176654,0.510,0.490,,,180972,176654,Eugene OR 2020,0.976,1.137976308
2000,Both,Evansville IN,166786,0.527,0.473,78822,87964,166786,117298,Evansville IN 2000,0.703,
2000,Male,Evansville IN,78822,0.527,0.473,78822,87964,166786,117298,Evansville IN 2000,0.703,
2000,Female,Evansville IN,87964,0.527,0.473,78822,87964,166786,117298,Evansville IN 2000,0.703,
2020,Both,Evansville IN,117298,0.527,0.473,,,166786,117298,Evansville IN 2020,0.703,
2000,Both,Fayetteville NC,146800,0.510,0.490,71877,74924,146801,208501,Fayetteville NC 2000,1.420,0.316000697
2000,Male,Fayetteville NC,71877,0.510,0.490,71877,74924,146801,208501,Fayetteville NC 2000,1.420,0.316000697
2000,Female,Fayetteville NC,74924,0.510,0.490,71877,74924,146801,208501,Fayetteville NC 2000,1.420,0.316000697
2020,Both,Fayetteville NC,208501,0.510,0.490,,,146801,208501,Fayetteville NC 2020,1.420,0.316000697
2000,Both,Flint MI,245020,0.525,0.475,116329,128691,245020,101030,Flint MI 2000,0.412,-0.439670366
2000,Male,Flint MI,116329,0.525,0.475,116329,128691,245020,101030,Flint MI 2000,0.412,-0.439670366
2000,Female,Flint MI,128691,0.525,0.475,116329,128691,245020,101030,Flint MI 2000,0.412,-0.439670366
